"alminium",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"1.34","212.2005","0.06535417","0.01128387"
"1.35","214.9264","0.06584375","0.01128387"
"1.36","217.5252","0.06634375","0.01159668"
"1.37","220.4657","0.06684375","0.01187515"
"1.38","223.5572","0.06733333","0.01187515"
"1.39","226.2592","0.06784375","0.01214981"
"1.4","228.8659","0.06834375","0.01214981"
"1.41","231.5998","0.06884375","0.0124588"
"1.42","234.6436","0.06934375","0.01281357"
"1.43","238.0292","0.06984375","0.01281357"
"1.44","241.0332","0.07034375","0.01324081"
"1.45","244.0373","0.07084375","0.01371002"
"1.46","246.5089","0.07134375","0.01371002"
"1.47","249.4017","0.07184375","0.01413345"
"1.48","252.2151","0.07235417","0.01413345"
"1.49","255.3781","0.07285417","0.01450729"
"1.5","258.0961","0.07335416","0.01494217"
"1.51","261.418","0.07386458","0.01494217"
"1.52","264.3506","0.07436458","0.01550674"
"1.53","267.2593","0.07485417","0.01550674"
"1.54","269.9932","0.07535417","0.01612473"
"1.55","272.6952","0.07585417","0.0166626"
"1.56","275.8423","0.07634375","0.0166626"
"1.57","279.0292","0.07683333","0.01704788"
"1.58","281.3896","0.07732292","0.01735306"
"1.59","284.0837","0.07782292","0.01735306"
"1.6","286.9368","0.07832292","0.01735306"
"1.61","290.3223","0.07882292","0.01766586"
"1.62","293.0482","0.07932292","0.01808167"
"1.63","295.7264","0.07982291","0.01864624"
"1.64","298.6272","0.08032291","0.01864624"
"1.65","301.6472","0.08082291","0.01932526"
"1.66","304.6115","0.08132292","0.02005768"
"1.67","307.6553","0.08183333","0.02005768"
"1.68","310.6912","0.08233333","0.02005768"
"1.69","313.3853","0.08284375","0.02078247"
"1.7","316.1192","0.08334375","0.02156067"
"1.71","319.2743","0.08385417","0.02243805"
"1.72","322.2704","0.08435416","0.02243805"
"1.73","324.9168","0.08485416","0.02339554"
"1.74","327.8812","0.08535416","0.0243454"
"1.75","330.6786","0.08585417","0.0243454"
"1.76","333.4443","0.08635417","0.02516174"
"1.77","337.0523","0.08684375","0.02516174"
"1.78","339.5557","0.08734375","0.0258255"
"1.79","342.7346","0.08784375","0.02640533"
"1.8","345.5877","0.08834375","0.02640533"
"1.81","348.4011","0.08884375","0.02700806"
"1.82","351.2224","0.08934375","0.02700806"
"1.83","354.282","0.08984375","0.02766418"
"1.84","357.0954","0.09034375","0.02766418"
"1.85","359.877","0.09084375","0.02828217"
"1.86","362.8731","0.09133333","0.02878571"
"1.87","365.4162","0.09184375","0.0292244"
"1.88","368.2852","0.09234375","0.0292244"
"1.89","371.0031","0.09284375","0.02971268"
"1.9","374.2854","0.09334375","0.02971268"
"1.91","377.353","0.09385417","0.03026581"
"1.92","380.0233","0.09435417","0.03026581"
"1.93","382.7015","0.09485417","0.03081131"
"1.94","385.4593","0.09535416","0.03123856"
"1.95","388.511","0.09585416","0.03158569"
"1.96","391.4197","0.09634375","0.03158569"
"1.97","394.3443","0.09683333","0.03197098"
"1.98","397.8332","0.09733333","0.03197098"
"1.99","400.3366","0.09782291","0.03252411"
"2","403.1181","0.09832291","0.0332222"
"2.01","405.6772","0.0988125","0.0332222"
"2.02","408.5223","0.0993125","0.0339241"
"2.03","411.3595","0.0998125","0.03447342"
"2.04","414.3397","0.1003125","0.03447342"
"2.05","417.7014","0.1008125","0.03489304"
"2.06","420.5942","0.1013125","0.03489304"
"2.07","423.193","0.1018229","0.03528976"
"2.08","426.2448","0.1023229","0.03528976"
"2.09","429.4157","0.1028229","0.0357933"
"2.1","431.9111","0.1033333","0.03642654"
"2.11","434.7245","0.1038333","0.03717422"
"2.12","437.7683","0.1043437","0.03717422"
"2.13","440.8836","0.1048438","0.03798676"
"2.14","443.7367","0.1053542","0.03798676"
"2.15","446.701","0.1058542","0.03879166"
"2.16","449.9038","0.1063542","0.03879166"
"2.17","452.6456","0.1068542","0.03953934"
"2.18","455.4987","0.1073437","0.04023361"
"2.19","458.2325","0.1078437","0.04023361"
"2.2","461.2049","0.1083438","0.0409317"
"2.21","464.1613","0.1088438","0.04164505"
"2.22","467.0461","0.1093438","0.04164505"
"2.23","469.621","0.1098437","0.04232407"
"2.24","472.7523","0.1103437","0.04232407"
"2.25","475.502","0.1108542","0.04296112"
"2.26","478.4822","0.1113542","0.04358673"
"2.27","481.4386","0.1118542","0.04358673"
"2.28","483.9818","0.1123542","0.04419327"
"2.29","487.2322","0.1128542","0.0447464"
"2.3","490.1091","0.1133542","0.0447464"
"2.31","493.0417","0.1138542","0.04522705"
"2.32","495.6325","0.1143542","0.04522705"
"2.33","498.5809","0.1148542","0.04571533"
"2.34","501.585","0.1153542","0.04631424"
"2.35","504.5652","0.1158542","0.04631424"
"2.36","507.6329","0.1163542","0.04704666"
"2.37","510.4939","0.1168542","0.04783249"
"2.38","512.8781","0.1173437","0.04783249"
"2.39","515.755","0.1178333","0.04862213"
"2.4","518.5684","0.1183333","0.04862213"
"2.41","521.2068","0.1188229","0.04939651"
"2.42","524.5049","0.1193229","0.05012512"
"2.43","527.6442","0.1198125","0.05012512"
"2.44","530.2509","0.1203125","0.05070114"
"2.45","532.8655","0.1208125","0.05109787"
"2.46","535.6471","0.1213125","0.05109787"
"2.47","538.6353","0.1218125","0.05142975"
"2.48","541.4724","0.1223125","0.05142975"
"2.49","544.1904","0.1228125","0.05183792"
"2.5","547.3058","0.1233125","0.05226135"
"2.51","549.8568","0.1238229","0.05226135"
"2.52","552.9324","0.1243229","0.05247879"
"2.53","556.1511","0.1248333","0.05241394"
"2.54","558.9962","0.1253438","0.05241394"
"2.55","562.0638","0.1258437","0.0522728"
"2.56","565.1553","0.1263542","0.0522728"
"2.57","567.6985","0.1268542","0.05228806"
"2.58","570.639","0.1273542","0.05247879"
"2.59","573.8735","0.1278542","0.05247879"
"2.6","576.8378","0.1283437","0.0527153"
"2.61","579.2697","0.1288438","0.05295563"
"2.62","582.2181","0.1293333","0.05295563"
"2.63","585.1428","0.1298333","0.05318832"
"2.64","587.6938","0.1303438","0.05318832"
"2.65","590.6582","0.1308437","0.05338669"
"2.66","593.8212","0.1313438","0.05345917"
"2.67","596.8969","0.1318437","0.05345917"
"2.68","599.8135","0.1323438","0.05344391"
"2.69","603.056","0.1328437","0.05347061"
"2.7","605.8216","0.1333437","0.05347061"
"2.71","608.7303","0.1338437","0.0536499"
"2.72","611.4244","0.1343437","0.0536499"
"2.73","614.1503","0.1348542","0.0539856"
"2.74","617.2498","0.1353542","0.05442047"
"2.75","620.373","0.1358542","0.05442047"
"2.76","623.4328","0.1363542","0.05489731"
"2.77","626.4766","0.1368542","0.055336"
"2.78","629.5522","0.1373542","0.055336"
"2.79","632.6119","0.1378542","0.05563736"
"2.8","635.4332","0.1383438","0.05563736"
"2.81","638.5327","0.1388333","0.0557518"
"2.82","641.5923","0.1393333","0.05569839"
"2.83","644.4295","0.1398229","0.05569839"
"2.84","647.0442","0.1403229","0.0555687"
"2.85","649.8098","0.1408229","0.05548859"
"2.86","652.8854","0.1413229","0.05548859"
"2.87","655.8975","0.1418229","0.05552673"
"2.88","659.0049","0.1423229","0.05552673"
"2.89","661.8738","0.1428229","0.05565262"
"2.9","664.7825","0.1433229","0.05577469"
"2.91","667.7548","0.1438229","0.05577469"
"2.92","670.7112","0.1443333","0.05579758"
"2.93","674.3272","0.1448333","0.05579758"
"2.94","676.9816","0.1453333","0.05572891"
"2.95","679.9142","0.1458437","0.05567169"
"2.96","683.0771","0.1463542","0.05567169"
"2.97","685.9462","0.1468542","0.05572891"
"2.98","688.9025","0.1473542","0.05597687"
"2.99","692.1689","0.1478542","0.05597687"
"3","695.3001","0.1483542","0.05635834"
"3.01","698.3121","0.1488542","0.05635834"
"3.02","700.9745","0.1493437","0.05669022"
"3.03","703.9865","0.1498438","0.05679321"
"3.04","707.3641","0.1503333","0.05679321"
"3.05","710.1377","0.1508333","0.05669022"
"3.06","712.9749","0.1513333","0.05659866"
"3.07","716.1299","0.1518437","0.05659866"
"3.08","719.1181","0.1523438","0.05680466"
"3.09","722.1858","0.1528437","0.05680466"
"3.1","725.2614","0.1533438","0.0574379"
"3.11","727.9475","0.1538437","0.05834961"
"3.12","731.0629","0.1543333","0.05834961"
"3.13","734.0829","0.1548333","0.05927277"
"3.14","737.5002","0.1553437","0.06003952"
"3.15","740.4725","0.1558437","0.06003952"
"3.16","743.7308","0.1563437","0.06066132"
"3.17","746.9416","0.1568438","0.06066132"
"3.18","749.8026","0.1573542","0.06118393"
"3.19","752.8623","0.1578438","0.06159973"
"3.2","756.0094","0.1583437","0.06159973"
"3.21","758.7354","0.1588438","0.0618782"
"3.22","761.9698","0.1593333","0.06207275"
"3.23","765.1965","0.1598333","0.06207275"
"3.24","768.4231","0.1603229","0.06229782"
"3.25","771.5702","0.1608229","0.06229782"
"3.26","774.8286","0.1613125","0.06269836"
"3.27","778.1267","0.1618125","0.06332779"
"3.28","780.4155","0.1623125","0.06332779"
"3.29","783.4355","0.1628125","0.06415939"
"3.3","786.7177","0.1633125","0.06415939"
"3.31","790.0953","0.1638125","0.06509781"
"3.32","793.3617","0.1643125","0.06604767"
"3.33","796.8347","0.1648229","0.06604767"
"3.34","800.0771","0.1653229","0.06701279"
"3.35","803.0414","0.1658333","0.06797409"
"3.36","805.9263","0.1663333","0.06797409"
"3.37","809.439","0.1668437","0.06797409"
"3.38","812.8564","0.1673438","0.06880569"
"3.39","816.1385","0.1678542","0.06943512"
"3.4","819.1347","0.1683542","0.06995773"
"3.41","822.1149","0.1688542","0.06995773"
"3.42","825.8184","0.1693542","0.07053375"
"3.43","829.037","0.1698542","0.07117081"
"3.44","832.1921","0.1703437","0.07117081"
"3.45","835.5538","0.1708438","0.07175064"
"3.46","838.6691","0.1713333","0.07175064"
"3.47","841.697","0.1718438","0.07220459"
"3.48","845.1621","0.1723437","0.07255554"
"3.49","848.1264","0.1728438","0.07255554"
"3.5","850.9398","0.1733437","0.07283401"
"3.51","854.1902","0.1738437","0.07311249"
"3.52","858.1002","0.1743437","0.07311249"
"3.53","861.7162","0.1748437","0.07311249"
"3.54","864.8634","0.1753438","0.07348633"
"3.55","867.7642","0.1758437","0.07408905"
"3.56","871.1021","0.1763542","0.07488632"
"3.57","874.4081","0.1768542","0.07488632"
"3.58","877.4201","0.1773542","0.07571411"
"3.59","880.6944","0.1778542","0.07571411"
"3.6","884.1276","0.1783542","0.07641983"
"3.61","887.0602","0.1788542","0.07641983"
"3.62","890.0007","0.1793542","0.07701111"
"3.63","893.3782","0.1798438","0.07753372"
"3.64","896.4379","0.1803333","0.07801056"
"3.65","899.5851","0.1808333","0.07801056"
"3.66","902.8276","0.1813229","0.07844162"
"3.67","905.7919","0.1818125","0.07844162"
"3.68","909.0821","0.1823125","0.07888031"
"3.69","912.1418","0.1828125","0.07933044"
"3.7","915.0982","0.1833125","0.07933044"
"3.71","918.3486","0.1838125","0.07974625"
"3.72","921.4561","0.1843125","0.08007813"
"3.73","924.2296","0.1848125","0.08007813"
"3.74","927.6231","0.1853125","0.08034515"
"3.75","930.3967","0.1858125","0.08034515"
"3.76","933.6233","0.1863229","0.08060837"
"3.77","936.5479","0.1868229","0.08060837"
"3.78","939.9493","0.1873333","0.08096695"
"3.79","942.8342","0.1878333","0.08145142"
"3.8","945.7191","0.1883437","0.08203506"
"3.81","948.9219","0.1888437","0.08203506"
"3.82","952.1405","0.1893542","0.08261871"
"3.83","955.5101","0.1898437","0.08261871"
