"SS400_3",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"1.35","322.9062","0.06582291","0.06468582"
"1.36","326.0453","0.06632292","0.06504059"
"1.37","328.8905","0.06682292","0.06504059"
"1.38","332.0694","0.06732292","0.06535721"
"1.39","335.6854","0.06782292","0.06535721"
"1.4","338.7054","0.06832292","0.0656929"
"1.41","342.083","0.06882291","0.06604767"
"1.42","345.2539","0.06933333","0.06604767"
"1.43","348.5918","0.06984375","0.06637573"
"1.44","351.4449","0.07034375","0.06637573"
"1.45","354.6794","0.07085416","0.0666275"
"1.46","358.1365","0.07135417","0.06682205"
"1.47","361.1883","0.07185417","0.06682205"
"1.48","364.399","0.07235417","0.06702042"
"1.49","367.7686","0.07285417","0.06726837"
"1.5","371.1382","0.07335416","0.06726837"
"1.51","374.0072","0.07384375","0.06754303"
"1.52","377.7424","0.07434375","0.06754303"
"1.53","381.0088","0.07484375","0.06776047"
"1.54","384.0287","0.07534375","0.06785202"
"1.55","387.2236","0.07584375","0.06785202"
"1.56","390.6568","0.07634375","0.06784439"
"1.57","394.09","0.07684375","0.06782913"
"1.58","397.3325","0.07734375","0.06782913"
"1.59","400.5591","0.07784375","0.06790924"
"1.6","403.6665","0.07833333","0.06790924"
"1.61","406.6308","0.07883333","0.06808472"
"1.62","410.1038","0.07933334","0.06827927"
"1.63","413.4417","0.07984375","0.06827927"
"1.64","416.8192","0.08034375","0.06839371"
"1.65","420.1889","0.08084375","0.06838226"
"1.66","423.336","0.08134375","0.06838226"
"1.67","426.5229","0.08184375","0.06832123"
"1.68","429.9402","0.08235417","0.06832123"
"1.69","433.0079","0.08284375","0.06832886"
"1.7","436.5921","0.08334375","0.06842422"
"1.71","439.7551","0.08384375","0.06842422"
"1.72","442.8864","0.08433333","0.06856537"
"1.73","446.0494","0.08482292","0.06856537"
"1.74","449.1726","0.08532292","0.06869507"
"1.75","452.6138","0.08582292","0.06874847"
"1.76","456.2219","0.0863125","0.06874847"
"1.77","459.3849","0.0868125","0.06872559"
"1.78","462.6354","0.08732291","0.06865692"
"1.79","465.9414","0.08782291","0.06865692"
"1.8","469.5257","0.08832292","0.06861877"
"1.81","472.9748","0.08882292","0.06861877"
"1.82","476.0663","0.08932292","0.06863785"
"1.83","479.2929","0.08982292","0.06867218"
"1.84","482.7658","0.09032292","0.06867218"
"1.85","486.4136","0.09083333","0.06868362"
"1.86","489.6561","0.09134375","0.06861877"
"1.87","492.8907","0.09184375","0.06861877"
"1.88","496.2921","0.09235416","0.06861877"
"1.89","499.932","0.09285416","0.06848145"
"1.9","502.9996","0.09335417","0.06827927"
"1.91","506.7349","0.09385417","0.06804657"
"1.92","510.4065","0.09435417","0.06804657"
"1.93","513.4503","0.09484375","0.06782913"
"1.94","516.9074","0.09534375","0.0676384"
"1.95","520.4836","0.09584375","0.0676384"
"1.96","523.9248","0.09634375","0.06747437"
"1.97","527.1356","0.09684375","0.06747437"
"1.98","530.3224","0.09734375","0.06734085"
"1.99","534.0656","0.09784375","0.06721497"
"2","537.626","0.09834375","0.06721497"
"2.01","540.6379","0.09884375","0.06710434"
"2.02","544.3494","0.09934375","0.06702042"
"2.03","547.719","0.09984375","0.06702042"
"2.04","550.7628","0.1003437","0.06702042"
"2.05","554.6172","0.1008437","0.06698227"
"2.06","557.9074","0.1013542","0.06701279"
"2.07","561.5075","0.1018542","0.0670929"
"2.08","564.9011","0.1023646","0.0670929"
"2.09","568.7952","0.1028646","0.067173"
"2.1","572.149","0.1033646","0.06723785"
"2.11","575.3358","0.1038542","0.06723785"
"2.12","578.9598","0.1043542","0.06723785"
"2.13","582.6075","0.1048438","0.06731033"
"2.14","586.1203","0.1053333","0.06744385"
"2.15","589.4899","0.1058229","0.0676384"
"2.16","592.9311","0.1063229","0.0676384"
"2.17","596.2928","0.1068229","0.06787109"
"2.18","599.3445","0.1073229","0.06787109"
"2.19","602.9288","0.1078125","0.06812286"
"2.2","606.1872","0.1083125","0.06838608"
"2.21","609.3343","0.1088125","0.06838608"
"2.22","612.8391","0.1093125","0.06868362"
"2.23","616.0815","0.1098125","0.06899643"
"2.24","619.7612","0.1103125","0.06899643"
"2.25","623.5759","0.1108125","0.06927109"
"2.26","626.8899","0.1113229","0.06927109"
"2.27","630.5059","0.1118229","0.0694809"
"2.28","633.6451","0.1123333","0.0694809"
"2.29","637.0544","0.1128438","0.06962585"
"2.3","640.2969","0.1133437","0.06975937"
"2.31","643.9686","0.1138437","0.06996155"
