"SS400_1",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"0","-0.4212061","0","0"
"0.01","-0.4212061","1.041667E-05","0.0001754761"
"0.02","-0.4212061","9.375E-05","-7.629395E-06"
"0.03","-0.4212061","0.0003333333","-0.0004272461"
"0.04","-0.4212061","0.00065625","-0.0004272461"
"0.05","-0.4212061","0.001041667","-0.0009002686"
"0.06","-0.4212061","0.00146875","-0.0009002686"
"0.07","-0.4291534","0.001916667","-0.001159668"
"0.08","-0.4371007","0.002385417","-0.001159668"
"0.09","-0.4371007","0.002864583","-0.0009689331"
"0.1","-0.4371007","0.003354167","-0.0003128052"
"0.11","-0.4371007","0.00384375","0.0004882813"
"0.12","-0.4212061","0.004333333","0.0004882813"
"0.13","-0.4212061","0.00478125","0.0009498596"
"0.14","-0.4212061","0.005239583","0.0009498596"
"0.15","-0.4212061","0.00571875","0.0007133484"
"0.16","-0.4212061","0.00621875","-0.000289917"
"0.17","-0.4212061","0.00671875","-0.000289917"
"0.18","-0.4212061","0.007229167","-0.001876831"
"0.19","-0.4212061","0.00771875","-0.003746033"
"0.2","-0.4212061","0.008197917","-0.003746033"
"0.21","6.11941","0.0086875","-0.005477905"
"0.22","8.980433","0.0091875","-0.005477905"
"0.23","11.15004","0.009708333","-0.006641388"
"0.24","13.05739","0.01022917","-0.006641388"
"0.25","15.60847","0.01075","-0.007110596"
"0.26","19.6139","0.01127083","-0.00699234"
"0.27","22.93587","0.01179167","-0.00643158"
"0.28","26.01147","0.0123125","-0.00643158"
"0.29","28.95196","0.01282292","-0.005573273"
"0.3","32.40108","0.01333333","-0.005573273"
"0.31","35.96147","0.01383333","-0.004806519"
"0.32","39.69669","0.01433333","-0.004806519"
"0.33","42.96303","0.01483333","-0.004558563"
"0.34","46.14194","0.01534375","-0.004711151"
"0.35","49.3288","0.01583333","-0.004669189"
"0.36","51.9832","0.01633333","-0.004669189"
"0.37","54.66143","0.01683333","-0.003990173"
"0.38","57.45093","0.01733333","-0.003990173"
"0.39","60.25632","0.01784375","-0.002861023"
"0.4","63.17297","0.01834375","-0.002861023"
"0.41","66.12142","0.01884375","-0.001773834"
"0.42","69.11755","0.01934375","-0.001094818"
"0.43","72.08983","0.01984375","-0.001094818"
"0.44","75.53101","0.02034375","-0.0009651184"
"0.45","78.61456","0.02084375","-0.001285553"
"0.46","81.31663","0.02134375","-0.001285553"
"0.47","84.12202","0.02184375","-0.001739502"
"0.48","87.02278","0.02234375","-0.001739502"
"0.49","90.00301","0.02284375","-0.00189209"
"0.5","93.33292","0.02335417","-0.001556396"
"0.51","96.80589","0.02384375","-0.001556396"
"0.52","100.1835","0.02434375","-0.0008621216"
"0.53","103.1955","0.02484375","-0.000164032"
"0.54","106.0645","0.02533333","-0.000164032"
"0.55","109.5454","0.02582292","0.0001678467"
"0.56","112.9468","0.02632292","0.0001678467"
"0.57","116.1655","0.0268125","3.814697E-05"
"0.58","119.098","0.02730208","-0.0002479553"
"0.59","122.2849","0.02780208","-0.0002479553"
"0.6","125.1698","0.02830208","-0.0002937317"
"0.61","128.2533","0.02880208","3.814697E-05"
"0.62","131.5196","0.02930208","3.814697E-05"
"0.63","134.778","0.02980208","0.0005378723"
"0.64","137.7662","0.03030208","0.0005378723"
"0.65","141.0564","0.03080208","0.0008010864"
"0.66","144.736","0.0313125","0.0006065369"
"0.67","147.6049","0.0318125","0.0006065369"
"0.68","150.6646","0.03232292","9.536743E-05"
"0.69","154.074","0.03283333","-0.0003204346"
"0.7","156.943","0.03333333","-0.0003204346"
"0.71","160.6147","0.03384375","-0.00050354"
"0.72","164.1035","0.03434375","-0.00050354"
"0.73","167.4652","0.03484375","-0.0006866455"
"0.74","170.6123","0.03534375","-0.001060486"
"0.75","173.9184","0.03584375","-0.001060486"
"0.76","177.4152","0.03634375","-0.001468658"
"0.77","180.7769","0.03684375","-0.001667023"
"0.78","184.0274","0.03734375","-0.001667023"
"0.79","187.0791","0.03783333","-0.001659393"
"0.8","190.7269","0.03834375","-0.001659393"
"0.81","193.9535","0.03884375","-0.001556396"
"0.82","197.2357","0.03934375","-0.001354218"
"0.83","200.0809","0.03984375","-0.001354218"
"0.84","203.6333","0.04034375","-0.0009918213"
"0.85","206.8917","0.04084375","-0.0005302429"
"0.86","210.0468","0.04134375","-0.0005302429"
"0.87","212.9237","0.04184375","-0.0001296997"
"0.88","216.4523","0.04235417","-0.0001296997"
"0.89","220.0206","0.04285417","0.0001335144"
"0.9","223.4379","0.04336458","0.0002937317"
"0.91","226.6487","0.04386458","0.0002937317"
"0.92","230.2249","0.04436458","0.0003623962"
"0.93","233.7058","0.04486458","0.0003738403"
"0.94","237.1788","0.04536458","0.0003738403"
"0.95","240.4928","0.04585417","0.0004577637"
"0.96","243.6479","0.04634375","0.0004577637"
"0.97","246.7871","0.04683333","0.0007667542"
"0.98","250.3475","0.04733333","0.001316071"
"0.99","253.3118","0.04782292","0.001316071"
"1","256.7212","0.04832292","0.001899719"
"1.01","260.5597","0.04882292","0.002223969"
"1.02","263.5717","0.04932291","0.002223969"
"1.03","266.9016","0.04982292","0.002052307"
"1.04","270.1521","0.05032292","0.002052307"
"1.05","273.7761","0.05082292","0.001419067"
"1.06","277.0424","0.05132291","0.0006256104"
"1.07","280.1418","0.05183333","0.0006256104"
"1.08","283.5751","0.05233333","0.0001029968"
"1.09","286.9447","0.05284375","0.0001029968"
"1.1","290.6481","0.05334375","9.536743E-05"
"1.11","293.9781","0.05384375","0.0005912781"
"1.12","297.4113","0.05435416","0.0005912781"
"1.13","301.0432","0.05485417","0.001251221"
"1.14","304.5797","0.05535417","0.001693726"
"1.15","308.1481","0.05586458","0.001693726"
"1.16","311.1521","0.05635417","0.001777649"
"1.17","314.3231","0.05685417","0.001777649"
"1.18","317.6609","0.05734375","0.001670837"
"1.19","321.4041","0.05784375","0.001502991"
"1.2","324.7976","0.05834375","0.001502991"
"1.21","328.215","0.05884375","0.001235962"
"1.22","332.0376","0.05934375","0.000869751"
"1.23","335.5106","0.05984375","0.000869751"
"1.24","338.7531","0.06034375","0.0004463196"
"1.25","342.2737","0.06084375","0.0004463196"
"1.26","345.9215","0.06134375","3.433228E-05"
"1.27","349.4819","0.06184375","-0.0002441406"
"1.28","352.8833","0.06234375","-0.0002441406"
"1.29","356.0861","0.06284375","-0.0001373291"
"1.3","359.4319","0.06334375","0.0003395081"
"1.31","362.738","0.06384375","0.0003395081"
"1.32","366.4414","0.06435417","0.0008888245"
"1.33","369.7554","0.06485417","0.0008888245"
"1.34","373.1728","0.06535417","0.001285553"
"1.35","377.0193","0.06585417","0.001693726"
"1.36","380.5479","0.06635416","0.001693726"
"1.37","383.8301","0.06684375","0.002426147"
"1.38","387.5891","0.06734375","0.003479004"
"1.39","390.8475","0.06783333","0.003479004"
"1.4","394.241","0.06833334","0.004520416"
"1.41","397.8173","0.06882291","0.004520416"
"1.42","401.2664","0.06932291","0.005138397"
"1.43","405.0732","0.06982291","0.005233765"
"1.44","408.9117","0.07032292","0.005233765"
"1.45","412.5277","0.07082292","0.004928589"
"1.46","415.7861","0.07132292","0.004928589"
"1.47","418.8299","0.07182292","0.004375458"
"1.48","422.4459","0.07232291","0.00365448"
"1.49","426.1335","0.07283333","0.00365448"
"1.5","429.9402","0.07333333","0.002849579"
"1.51","433.2463","0.07384375","0.002170563"
"1.52","436.5365","0.07434375","0.002170563"
"1.53","440.6134","0.07485417","0.002170563"
"1.54","444.4281","0.07535417","0.001815796"
"1.55","447.9329","0.07586458","0.001789093"
"1.56","451.9304","0.07636458","0.001842499"
"1.57","455.5543","0.07685417","0.001842499"
"1.58","458.622","0.07735416","0.001750946"
"1.59","462.8181","0.07784375","0.001586914"
"1.6","466.0686","0.07834375","0.001586914"
"1.61","469.5972","0.07884375","0.001544952"
"1.62","473.0145","0.07934375","0.001544952"
"1.63","476.861","0.07984375","0.001651764"
"1.64","480.5406","0.08034375","0.001781464"
"1.65","484.1805","0.08084375","0.001781464"
"1.66","488.1064","0.08134375","0.001846313"
"1.67","491.3648","0.08184375","0.001720428"
"1.68","494.949","0.08234375","0.001720428"
"1.69","498.6207","0.08284375","0.001720428"
"1.7","502.7135","0.08334375","0.001243591"
"1.71","506.552","0.08384375","0.0004196167"
"1.72","510.0171","0.08435416","-0.0005111694"
"1.73","513.7365","0.08485416","-0.0005111694"
"1.74","517.2729","0.08535416","-0.001224518"
"1.75","520.7856","0.08585417","-0.001449585"
"1.76","524.9818","0.08635417","-0.001449585"
"1.77","528.8442","0.08685417","-0.001033783"
"1.78","532.8257","0.08735417","-0.001033783"
"1.79","536.2193","0.08784375","2.288818E-05"
"1.8","539.7161","0.08834375","0.001399994"
"1.81","543.2526","0.08883333","0.001399994"
